  0.000000e+000  0.000000e+000
 -3.517858e-004 -1.917317e-003
 -6.578755e-004 -2.494864e-003
 -9.025872e-004 -2.550241e-003
 -1.089923e-003 -2.368057e-003
 -1.227258e-003 -2.070083e-003
 -1.321786e-003 -1.715422e-003
 -1.379741e-003 -1.335150e-003
 -1.406329e-003 -9.464498e-004
 -1.405851e-003 -5.590877e-004
 -1.381853e-003 -1.786585e-004
 -1.337269e-003  1.916870e-004
 -1.274530e-003  5.502703e-004
 -1.195670e-003  8.963167e-004
 -1.102391e-003  1.229611e-003
 -9.961271e-004  1.550285e-003
 -8.780950e-004  1.858683e-003
 -7.493271e-004  2.155275e-003
 -6.107052e-004  2.440600e-003
 -4.629847e-004  2.715232e-003
 -3.068143e-004  2.979753e-003
 -1.427527e-004  3.234740e-003
  2.871761e-005  3.480755e-003
  2.071799e-004  3.718338e-003
  3.922735e-004  3.948004e-003
  5.836860e-004  4.170245e-003
  7.811473e-004  4.385521e-003
  9.844236e-004  4.594270e-003
  1.193313e-003  4.796901e-003
  1.407643e-003  4.993800e-003
  1.627265e-003  5.185328e-003
  1.852051e-003  5.371825e-003
  2.081895e-003  5.553608e-003
  2.316708e-003  5.730977e-003
  2.556417e-003  5.904211e-003
  2.800963e-003  6.073571e-003
  3.050300e-003  6.239306e-003
  3.304393e-003  6.401645e-003
  3.563221e-003  6.560808e-003
  3.826770e-003  6.716996e-003
  4.095037e-003  6.870404e-003
  4.368029e-003  7.021212e-003
  4.645758e-003  7.169590e-003
  4.928247e-003  7.315700e-003
  5.215525e-003  7.459693e-003
  5.507628e-003  7.601712e-003
  5.804601e-003  7.741894e-003
  6.106493e-003  7.880367e-003
  6.413361e-003  8.017253e-003
  6.725269e-003  8.152667e-003
  7.042287e-003  8.286720e-003
