0   0
3.00E-03	-1.76E-03
6.00E-03	-2.33E-03
9.00E-03	-2.41E-03
1.20E-02	-2.25E-03
1.50E-02	-1.97E-03
1.80E-02	-1.63E-03
2.10E-02	-1.25E-03
2.40E-02	-8.68E-04
2.70E-02	-4.79E-04
3.00E-02	-9.62E-05
3.30E-02	2.78E-04
3.60E-02	6.42E-04
3.90E-02	9.94E-04
4.20E-02	1.33E-03
4.50E-02	1.66E-03
4.80E-02	1.97E-03
5.10E-02	2.28E-03
5.40E-02	2.57E-03
5.70E-02	2.85E-03
6.00E-02	3.12E-03
6.30E-02	3.38E-03
6.60E-02	3.63E-03
6.90E-02	3.87E-03
7.20E-02	4.11E-03
7.50E-02	4.33E-03
7.80E-02	4.55E-03
8.10E-02	4.76E-03
8.40E-02	4.97E-03
8.70E-02	5.17E-03
9.00E-02	5.36E-03
9.30E-02	5.55E-03
9.60E-02	5.73E-03
9.90E-02	5.91E-03
1.02E-01	6.09E-03
1.05E-01	6.26E-03
1.08E-01	6.42E-03
1.11E-01	6.59E-03
1.14E-01	6.75E-03
1.17E-01	6.90E-03
1.20E-01	7.06E-03
1.23E-01	7.21E-03
1.26E-01	7.36E-03
1.29E-01	7.50E-03
1.32E-01	7.65E-03
1.35E-01	7.79E-03
1.38E-01	7.93E-03
1.41E-01	8.06E-03
1.44E-01	8.20E-03
1.47E-01	8.34E-03
1.50E-01	8.47E-03
